kspace_shape,count
"(16, 4, 640, 320)",77
"(16, 16, 640, 320)",67
"(16, 20, 768, 396)",65
"(16, 16, 768, 396)",65
"(16, 20, 640, 320)",48
"(16, 4, 640, 322)",31
"(16, 14, 768, 396)",14
"(16, 4, 768, 392)",11
"(16, 12, 768, 396)",10
"(16, 6, 640, 320)",6
"(16, 14, 640, 320)",6
"(14, 20, 640, 320)",6
"(14, 16, 640, 320)",5
"(16, 12, 640, 320)",5
"(14, 20, 768, 396)",5
"(16, 16, 640, 272)",4
"(16, 16, 640, 264)",3
"(14, 4, 640, 320)",3
"(16, 5, 640, 322)",2
"(12, 16, 640, 320)",2
"(16, 18, 768, 396)",2
"(16, 16, 640, 274)",1
"(16, 20, 640, 262)",1
"(16, 16, 640, 312)",1
"(16, 20, 640, 274)",1
"(12, 4, 640, 320)",1
"(16, 20, 640, 264)",1
"(16, 4, 512, 276)",1
"(16, 4, 512, 213)",1
"(16, 8, 640, 320)",1
"(14, 18, 640, 320)",1
"(14, 14, 640, 320)",1
"(14, 20, 640, 260)",1
"(16, 8, 768, 396)",1
"(14, 16, 640, 272)",1
"(14, 16, 768, 396)",1
"(16, 10, 640, 320)",1
"(14, 6, 640, 320)",1
"(14, 14, 768, 396)",1
