Reference,Comparator,Metric,Mean difference,CI low,CI high,P(reference > comparator),Bootstrap p
reliability_a4_image_only,intervention_magnitude,spearman,0.5703365169064512,0.5385239089110604,0.6032645286381992,1.0,0.0019980019980019
reliability_a4_image_only,image_gradient,spearman,0.1474731577972612,0.1351332985184026,0.160538365014066,1.0,0.0019980019980019
reliability_a4_image_only,xhat_magnitude,spearman,0.0708349597973197,0.0599433339689129,0.0830619353051865,1.0,0.0019980019980019
reliability_a4_image_only,psf_gain_channel,spearman,0.0305586057408461,0.0237468955590204,0.0380136793313,1.0,0.0019980019980019
reliability_a4_image_only,reliability_full,spearman,0.0111435853881821,0.0061117172732227,0.0165713930573787,1.0,0.0019980019980019
reliability_a4_image_only,intervention_magnitude,top_risk_auprc,0.6841800197659045,0.6683760560718852,0.700536823884434,1.0,0.0019980019980019
reliability_a4_image_only,psf_gain_channel,top_risk_auprc,0.3115537366315629,0.2762583894838668,0.3462928247175257,1.0,0.0019980019980019
reliability_a4_image_only,xhat_magnitude,top_risk_auprc,0.2747431087739643,0.2459176013117096,0.3052285827283218,1.0,0.0019980019980019
reliability_a4_image_only,image_gradient,top_risk_auprc,0.2649906500124081,0.2431466734621338,0.2858951434108194,1.0,0.0019980019980019
reliability_a4_image_only,reliability_full,top_risk_auprc,0.0020370988191095,-0.0035741086986393,0.0069982295447407,0.781,0.4395604395604395
