metric,predictor,label,mean,ci_low,ci_high
top_risk_auprc,reliability_a4_image_only,A4 CNN,0.8411231960134969,0.8256328957710637,0.8560755945597618
top_risk_auprc,reliability_full,Full CNN,0.8405052866779678,0.822580885450038,0.855924434752483
top_risk_auprc,direct_lambda_risk,"Direct
$u_{\Lambda_{\mathrm{risk}}}$",0.7793907020783417,0.7607064635918482,0.7995586349997296
top_risk_auprc,direct_lambda_risk_raw,"Direct raw
residual",0.7175469718783462,0.6915851918750038,0.7438926380301624
top_risk_auprc,image_gradient,"Image
gradient",0.5825754700236202,0.5610892699169637,0.6023800396060397
top_risk_auprc,xhat_magnitude,"Reconstruction
magnitude",0.5697968120240349,0.5430622777693876,0.5960656318397298
top_risk_auprc,psf_gain_channel,"Gain
envelope",0.5318669120713457,0.5042648705359974,0.5605665750812474
top_risk_auprc,intervention_magnitude,"Intervention
magnitude",0.16041934241103192,0.15034488144442354,0.1706756411645543
mae,reliability_a4_image_only,A4 CNN,0.08008489089119913,0.07693488900399557,0.08387701554145267
mae,reliability_full,Full CNN,0.08277553954265289,0.0793622189863102,0.08649475799811387
mae,direct_lambda_risk,"Direct
$u_{\Lambda_{\mathrm{risk}}}$",0.09208987093706006,0.08758940988401186,0.0962451295714268
mae,direct_lambda_risk_raw,"Direct raw
residual",0.43525569413680687,0.4179983031298731,0.45498926363591446
mae,image_gradient,"Image
gradient",0.4179094349979744,0.40137290544291426,0.43602387182813174
mae,xhat_magnitude,"Reconstruction
magnitude",0.3400621708259084,0.3253745295912586,0.35676898486688147
mae,psf_gain_channel,"Gain
envelope",0.24426515162707169,0.23355659495598144,0.2563752699603454
mae,intervention_magnitude,"Intervention
magnitude",0.5421420312450016,0.5272259188759277,0.5575004747321943
spearman,reliability_a4_image_only,A4 CNN,0.9526697655948214,0.9440199164994427,0.9613763473139898
spearman,reliability_full,Full CNN,0.9412388041676834,0.9331203348953234,0.9496822601848564
spearman,direct_lambda_risk,"Direct
$u_{\Lambda_{\mathrm{risk}}}$",0.9588563195756582,0.9450043497369038,0.9705375434983541
spearman,direct_lambda_risk_raw,"Direct raw
residual",0.94790280324101,0.9356946752887907,0.9585711020539966
spearman,image_gradient,"Image
gradient",0.8054011305857375,0.7923983835761202,0.8170848300820042
spearman,xhat_magnitude,"Reconstruction
magnitude",0.882365884162465,0.86783030931732,0.8953764359655575
spearman,psf_gain_channel,"Gain
envelope",0.9218348548332563,0.9101890270133546,0.9321099633097472
spearman,intervention_magnitude,"Intervention
magnitude",0.38249702157625415,0.34808630630558657,0.41726724969833123
