reference,comparison,metric,diff_mean_ref_minus_comparison,diff_median_ref_minus_comparison,diff_ci_low,diff_ci_high,prob_ref_greater,p_two_sided_bootstrap
reliability_a4_image_only,direct_lambda_risk,mae,-0.012004980045860926,-0.01206440952992955,-0.015870464308190706,-0.007565807667412417,0.0,0.001998001998001998
reliability_a4_image_only,direct_lambda_risk,mse,-0.011872139891605349,-0.011904304617475825,-0.014884452629616875,-0.008631219181892257,0.0,0.001998001998001998
reliability_a4_image_only,direct_lambda_risk,spearman,-0.006186553980836652,-0.006226814259435165,-0.019463088553443666,0.007943271941325715,0.186,0.37362637362637363
reliability_a4_image_only,direct_lambda_risk,top_risk_auroc,0.0050896768075503925,0.0051052528155798305,0.0031585435530486015,0.0067539323124973846,1.0,0.001998001998001998
reliability_a4_image_only,direct_lambda_risk,top_risk_auprc,0.061732493935155036,0.06211538041739745,0.042250208820463715,0.08039993780176038,1.0,0.001998001998001998
reliability_a4_image_only,direct_lambda_risk_raw,mae,-0.3551708032456077,-0.35456006254867534,-0.37512426244418684,-0.3374988382905598,0.0,0.001998001998001998
reliability_a4_image_only,direct_lambda_risk_raw,mse,-0.6361628874772945,-0.634853747532053,-0.6741966898871281,-0.6022831089328708,0.0,0.001998001998001998
reliability_a4_image_only,direct_lambda_risk_raw,spearman,0.004766962353811601,0.004569205181220559,-0.00809436446228096,0.01851710744706455,0.758,0.4855144855144855
reliability_a4_image_only,direct_lambda_risk_raw,top_risk_auroc,0.016938347952755565,0.016974421674826212,0.014055666640404354,0.01977273943629853,1.0,0.001998001998001998
reliability_a4_image_only,direct_lambda_risk_raw,top_risk_auprc,0.12357622413515071,0.12385257866578026,0.10146962237329041,0.14801530167361324,1.0,0.001998001998001998
reliability_a4_image_only,image_gradient,mae,-0.33782454410677526,-0.33727566024886213,-0.35639391846752766,-0.32084985467557,0.0,0.001998001998001998
reliability_a4_image_only,image_gradient,mse,-0.5893074680144894,-0.5888958996102303,-0.6215832690307425,-0.5599821612484664,0.0,0.001998001998001998
reliability_a4_image_only,image_gradient,spearman,0.1472686350090841,0.146913245772068,0.13492224281508333,0.16040288951996134,1.0,0.001998001998001998
reliability_a4_image_only,image_gradient,top_risk_auroc,0.04130112284453942,0.04131014430057195,0.03889034405653557,0.04362048362837513,1.0,0.001998001998001998
reliability_a4_image_only,image_gradient,top_risk_auprc,0.25854772598987663,0.258430895251279,0.2403973286641197,0.27886131519317353,1.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,mae,-0.4620571403538024,-0.4621459111801576,-0.4780937608291882,-0.4469342031869149,0.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,mse,-0.47322557098552176,-0.47327053333252234,-0.4978931268482461,-0.45039198897886534,0.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,spearman,0.5701727440185673,0.5701451723445777,0.5367985838225733,0.6034428342086751,1.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,top_risk_auroc,0.478405038240003,0.47783924090432645,0.4581858854873401,0.49935724472582316,1.0,0.001998001998001998
reliability_a4_image_only,intervention_magnitude,top_risk_auprc,0.680703853602465,0.680946116458892,0.6652463531600962,0.6959790691222087,1.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,mae,-0.16418026073587252,-0.16381301787967528,-0.17692918473957794,-0.1525101888555454,0.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,mse,-0.17488593233298308,-0.17465206697460117,-0.19124640101996246,-0.16032677099388157,0.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,spearman,0.030834910761565183,0.030754359514836183,0.023633475487988245,0.037892412903338044,1.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,top_risk_auroc,0.03289059623698572,0.03288004563915653,0.027124211855000278,0.03863364837438985,1.0,0.001998001998001998
reliability_a4_image_only,psf_gain_channel,top_risk_auprc,0.3092562839421512,0.30999930271228077,0.2734179713780331,0.3423357285116972,1.0,0.001998001998001998
reliability_a4_image_only,reliability_full,mae,-0.002690648651453778,-0.0026762235837738124,-0.003723359485137181,-0.0016860578300178452,0.0,0.001998001998001998
reliability_a4_image_only,reliability_full,mse,-0.0006411192070026756,-0.0006370791294590412,-0.001131628033811323,-0.00015739152070681634,0.004,0.00999000999000999
reliability_a4_image_only,reliability_full,spearman,0.011430961427138196,0.011302706859722567,0.006063882588365428,0.01734637908812612,1.0,0.001998001998001998
reliability_a4_image_only,reliability_full,top_risk_auroc,0.00026000511450426724,0.00026738951245658393,-0.00013067578329475078,0.0006286416442615294,0.895,0.21178821178821178
reliability_a4_image_only,reliability_full,top_risk_auprc,0.0006179093355290959,0.0007369297340628078,-0.004899124553254438,0.005754376937584909,0.595,0.8111888111888111
reliability_a4_image_only,xhat_magnitude,mae,-0.25997727993470926,-0.2595156829866487,-0.27729403462416347,-0.24492727557395702,0.0,0.001998001998001998
reliability_a4_image_only,xhat_magnitude,mse,-0.37591321380535064,-0.37507729748546187,-0.4045364010098268,-0.3506825783230614,0.0,0.001998001998001998
reliability_a4_image_only,xhat_magnitude,spearman,0.07030388143235655,0.0700546729497245,0.05866157225020674,0.08271132347795467,1.0,0.001998001998001998
reliability_a4_image_only,xhat_magnitude,top_risk_auroc,0.034802804994505984,0.03475010534818562,0.02885203431680642,0.041616409703643664,1.0,0.001998001998001998
reliability_a4_image_only,xhat_magnitude,top_risk_auprc,0.27132638398946185,0.2718155848337566,0.239692180136362,0.30259466506943866,1.0,0.001998001998001998
